English,Actual Nepali,Predicted Nepali
The fund received from carbon trading will be used to enhance the adaptive capacity of communities at the highest risk from climate change.,कार्बन व्यापारबाट प्राप्त रकम जलवायु परिवर्तनबाट सबैभन्दा बढी जोखिममा परेका समुदायको अनुकूलन क्षमता विकासमा उपयोग गरिनेछ।,जलवायु परिवर्तनबाट सबैभन्दा बढी जोखिममा समुदायको अनुकूलन क्षमता अभिवृद्धि गर्न कार्बन व्यापारबाट प्राप्त को
"""No, no, I am not a Marxist,"" I had to say, ""If I follow any ideology, it is aesthetics!""","'होइन-होइन, म मार्क्सवादी होइन,' मैले दिनुपरेको थियो- 'म कुनै वाद अनुसरण गर्छु भने त्यो हो सौन्दर्यवाद !'","'होइन, म मार्क्सिस्ट होइन,' मैले भनेको थियो- 'कुनै मान्यता अनुसरण गरेँ भने यो रसनीमानी हो !'"
"""A straight person gets bent.""",'सोझो मान्छे बाङ्गिएको ।',एउटा सिधा मान्छे बुन्छ।
"When I reached the hallway, I stopped her by saying, ""Excuse me.""",भन्याङमा पुग्दा मैले 'एक्सक्युज मी' भनेर उसलाई रोकेँ ।,म कोरिडोर पुगेपछि मैले उसलाई रोकेर भनेँ- 'अब त्यसो भए ।'
"A rural development campaign will be conducted to promote economic and social activities based on local potentialities in the areas of Postal Highway, Mid-hill Pushpalal Highway and Madan Bhandari Highway and North-South Corridor with cost sharing of the province, local level, private sector and community.","मदन भण्डारी राजमार्ग तथा उत्तर-दक्षिण कोरिडोर क्षेत्रमा प्रदेश, स्थानीय तह, निजी क्षेत्र र समुदायको लागत साझेदारीमा स्थानीय सम्भावनामा आधारित आर्थिक-सामाजिक गतिविधि प्रवर्द्धन गर्न ग्रामीण विकास अभियान सञ्चालन गरिनेछ।","प्रदेश, स्थानीय तह, निजी क्षेत्र र समुदायको लागत साझेदारीमा स्थानीय पोटेन्सियल हाइ राजमा आधारित स्थानीय तथा सामाजिकता प्रवर्द्ध"
Describe the process of energy production in the Sun.,सूर्यमा शक्ति उत्पन्न हुने प्रक्रिया व्याख्या गर्नुहोस्।,सूर्यमा ऊर्जा उत्पादनको प्रक्रिया वर्णन गर्नुहोस्।
Aesthetic charm refines a person's thoughts and perspective.,रसले व्यक्तिको सोच र दृष्टिकोणलाई निखार्छ।,रसले व्यक्तिको विचार र दृष्टिकोणलाई सुधार्छ।
The environment was going to change after rainfall.,पानी परेपछि वातावरण परिवर्तन हुँदै गयो।,पानी पानीपछि वातावरण बदलिनेछ।
"""'Cowards scared of a girl with a camera!'""",'क्यामरा भिरेर हिँडेकी केटीसँग डराउने लाछीहरू!','क्यामरा भएकी केटीसँग डराएको !'
There are numerous masses having hydrogen and helium in the universe.,ब्रह्माण्डमा हाइड्रोजन र हिलियम भएका थुप्रै पिण्ड छन्।,ब्रह्माण्डमा हाइड्रोजन र हेलियम भएका धेरै मात्राहरू छन्।
Importance of classification of living beings,जीवहरूको वर्गीकरणको महŒव,सजीवहरूको वर्गीकरणको महत्त्व
"If the mass of the star is more than 5 times the solar mass, the core contracts into negligible volume and excessive mass.",यदि ताराको पिण्ड सूर्यको पिण्डको ५ गुणाभन्दा बढी भएमा कोर खुम्चियर अत्यधिक सानो तर अत्यधिक खँदिलो पिण्ड बन्छ।,"यदि ताराको पिण्ड पाँचपल्ट सूर्यको पिण्ड बढी हुन्छ, त्यसमा महत्वपूर्ण भएको कोर संकुचित भए र अत्यधिक"
What if my life is bound to a mirage with Bar?,के मेरो जीबन बरीसँग यस्तै एउटा मुगतृष्णाको साइनोमा अल्फिरहने हो ?,यदि बरीसँग एउटा मिलासँग मेरो जीवन बाँधिएको छ भने ?
What enmity is there between you and me?,तिमी र ममा के दुश्मनी छ?,तिमी र मबीच के दुश्मनी छ?
The rate of this item is very expensive.,यस वस्तुको दर धेरै महँगो छ।,यो वस्तुको दर निकै महँगो हुन्छ।
"By tormenting this suffering world, can we be truly alone even from our own illusions?",यो पीडित संसारलाई लत्त्याएर आफूलाई नत्त्याएर आआफ्नो आभासदेखि पनि एक्लो हुन सके ?’,यो दुःखको संसारलाई यास्ता गरेर के हामी साँच्चिकै एक्लै आफ्नै भ्रमबाट पनि हुन सक्छौं?
"""I will, Uncle Lahare. Don’t worry.""","'किन्छु लाहरे काका, चिन्ता नगर्नोस्।'","'हुन्छु काका लाहारे, चिन्ता नगर्नुहोस्।'"
That won’t work either. I don’t want to talk about the war.,त्यसो पनि हुँदैन । मलाई युद्धको बिषयमा केही बोल्नु छैन,त्यो पनि काम हुँदैन । म लडाइँको कुरा गर्न चाहन्नँ ।
Mushroom essence was extracted to prepare soup.,च्याउको चुरा निकालेर सुप तयार गरियो।,च्याउको रस निकालिएर सूप तयार गरियो।
"""Some representatives of the old regime, some informers, and some innocent people have been killed.""","'पुरानो सत्ताका केही प्रतिनिधि, केही सुराकी र केही घानमा परेर मारिएका छन्।'","पुरानो सरकारका केही प्रतिनिधित्व, कुनै सूचक, केही निरपराध मानिसलाई मारिएको छ।"
It controls the action of muscles and particular types of glands either in sleep or wake.,यसले ब्यूँझको वा सुतको अवस्थामा मांसपेशी र निश्चित प्रकारका ग्रन्थिका कार्य नियन्त्रण गर्छ।,यसले निद्रामा वा उठाउँदा मांसपेशी र विशेष प्रकारका ग्रन्थिहरूको क्रिया नियन्त्रण गर्छ।
"In order to avoid paying taxes on his inheritance, John decided to expatriate himself to Switzerland where bank secrecy laws would protect his assets.","आफ्नो उत्तराधिकारमा कर तिर्न नपरोस भनेर जोनले आफूलाई स्विजरल्याण्डमा आप्रवास गराउने निर्णय गरे, जहाँ बैंक गोपनीयता कानुनहरूले उनको सम्पत्तिलाई सुरक्षा प्रदान गर्नेथियो।","नासोमा कर तिर्न नगरेर, जोनले आफ्नो सम्पत्तिलाई सुरक्षित पार्ने निर्णय गरे जहाँ बैंकको गोप्य कानूनले आफ्नो सम्पत्त"
"Yes, it did.",यो ।,हो ।
Rest is necessary to avoid pain and suffering.,दुःख र पीडाबाट बच्न आराम गर्नु आवश्यक छ।,दुःख र दुःखबाट बच्न विश्राम आवश्यक छ।
"After the fog, the weather returns to normal.",हुस्सु पछि मौसम सामान्य हुन्छ।,हुस्सु पछि मौसम आउँछ।
"Covering, protecting, and filtering are the functions of this tissue.","यी तन्तुहरूले ढाक्ने, बचाउने र छान्ने जस्ता कार्यहरू गर्दछन्।","यस तन्तुका कार्यहरू छोप्न, बचाउन र फिल्टर गर्नु।"
This city is famous for its religious rituals and festivals.,यो शहर धार्मिक अनुष्ठान र उत्सवहरूको लागि प्रसिद्ध छ।,यो सहर आफ्नो धार्मिक अनुष्ठान र उत्सवका लागि प्रसिद्ध छ।
I drank a lot of water.,बेस्सरी पानी पिएँ ।,मैले धेरै पानी पिए।
"I resolved in my heart, 'Live, Bar! Live for yourself; let others die; you are worth it; I should have reached you.'","मतमनमा दोहोज्याएँ बाँच, बरी ! बाँच, आफ्नो निम्ति बाँच, अरू मरून्‌, तिमीलाई के ; धेरै हो भन्नुपर्छ मैले तिमीलाई छुनसम्म पाएँ ।","मैले आफ्नो हृदयमा निश्चित थिएँ- 'लाइभ बरी! आफैँलाई बाँच्नुहोला, अरू मरेस्‌, तपाईंलाई निरर्थक छ,"
The small edge formed in the stream makes its use more convenient.,धारामा बनेको सानो धारले यसको प्रयोगमा सहजता ल्याउँछ।,धारामा बनेको सानो किनारले यसको प्रयोगलाई अझ सुलभ बनाउँछ।
"""Can new work be done without destruction?""","“ध्वंस नगरी नयाँ काम हुँदैन?""",'नविनतिर नयाँ काम गर्न सक्छ ?'
"""Well, I like marigolds.""",ई त सयपत्री मन पर्छ ।',"'हो, मलाई ठिटो मनपर्छ।'"
I couldn’t look away.,मैले आँखा हटाउन सकिनँ ।,म हेर्न सकिनँ ।
It develops sexual characteristics in human beings.,मानिसमा लैङ्गिक गुणको विकास गर्छ।,यसले मानिसहरूमा यौन विशेषता विकास गर्छ।
Those eyes come piercing through me.,ती आँखा सिरुपातै बनेर घोच्न आइपुग्छन् ।,ती आँखा मेरो माध्यमबाट टल्किन्छन्‌ ।
Depositing allows us to understand social responsibility and importance.,नासो राख्दा हामी सामाजिक दायित्व र महत्त्व बुझ्न सक्छौं।,नासो राख्नाले हामीलाई सामाजिक जिम्मेवारी र महत्त्व बुझ्न सक्छ।
Everyone started dancing to the beat of the music.,संगीतको ताल सुन्दै सबै नाच्न थाले।,सबैले संगीतको टोलमा नाच्न थाले।
Upgradation of Kirtipur Cricket Stadium and constructing the Fapla Cricket Stadium will be expedited.,कीर्तिपुर क्रिकेट रङ्गशालाको स्तरोन्नति र फाप्ला क्रिकेट रङ्गशाला निर्माणलाई तीव्रता दिइनेछ।,किर्तिपुर क्रिकेट स्टेडियमको अभिवृद्धि र फ्यापला क्रिकेट स्टेडियम निर्माण कार्यलाई तीव्रता दिइनेछ।
"By ensuring the rule of law, the protection of human rights will be given top priority.",कानूनी शासनको प्रत्याभूति गरी मानव अधिकार संरक्षणलाई उच्च प्राथमिकता दिइनेछ।,कानुन शासन सुनिश्चित गरेर मानव हकको संरक्षणलाई प्राथमिकता दिइनेछ।
"""If you are rich, everyone gets the comforts,"" the old man said.","""श्वनी भए त जसलाई पनि सुविधा मिल्छ नि,"" बूढाले भनेका थिए-","'तिमी धनी भयौ भने सबैलाई सान्त्वना मिल्छ,' बूढाले भने ।"
"The poet's hand wrote beautiful poetry, just as he played a role in the revolution.","कविको हातले राम्रो कविता लेख्थ्यो, जसरी उसले क्रान्तिमा हात हाले।","कविको हातले सुन्दर कविता लेख्थ्यो, जसरी क्रान्तिमा उसले हात हाले।"
I express my sincere gratitude for the suggestions received from honourable members during the discussion on the principles and priorities of the Appropriation Bill.,विनियोजन विधेयकका सिद्धान्त र प्राथमिकता छलफलका क्रममा माननीय सदस्यहरूबाट प्राप्त सुझावप्रति हार्दिक आभार व्यक्त गर्दछु।,अनुयोजन बिलको सिद्धान्त तथा प्राथमिकताका बारेमा छलफल गर्दा मानव सदस्यहरूबाट प्राप्त गरिएका सल्लाहहरूका लागि म आफ्नो
"His thighs and arms were firm like strong bamboo, I couldn’t win against him.",ढुङ्गामा टाउको ठोक्न खोजेजस्तो हुन्थ्यो । उसका तिघ्रा र पाखुरा 'बटारिएका,"उसको थोडा र हातहरू बलियो बाँसजस्तै स्थिर थिए, म उसको विरुद्ध जित्न सकिनँ।"
Today’s date is significant for my studies.,आजको मिति मेरो पढाइमा महत्वपूर्ण छ।,मेरो अध्ययनका लागि आजको मिति महत्त्वपूर्ण छ।
Their conversation turned into an intimate discussion about their deepest fears and desires.,उनीहरूको संवाद गहिरो डर र चाहनाबारेको अन्तरंग छलफलमा परिणत भयो।,तिनीहरूको संवादले उनीहरूको गहिरो डर र इच्छाहरूको बारेमा अन्तरंग छलफल भयो।
"""Your perspective would have been wrong,"" he said, ""The artist looks at society, analyzes it scientifically, and sees it painted with an extraordinary hope.""","""तपाईंको दृष्टिकोण गलत हुन्थ्यो, उसले भन्यो- चित्रकारले समाज हेर्छ, समाजको वैज्ञानिक विश्लेषण गर्छ, समाज अपूर्व आशाको अविरले रँगिएको हुन्छ ।","""तपाईंको दृष्टिकोण गलत हुन्थ्यो,"" उसले भन्यो- ""कलाकार समाज हेर्छ, वैज्ञानिक विश्लेषण गर्दछ र यसलाई एउटा असा"
The health of domesticated animals can only be cared for through tending.,पाल्तु जनावरहरूको स्वास्थ्यको हेरचाह पालका माध्यमबाट मात्र गर्न सकिन्छ।,घरको पाल्ने माध्यमबाट पशुहरूको स्वास्थ्य मात्र हेरचाह गर्न सकिन्छ।
I cut the curtain to make a new design.,मैले पर्दा काटेर नयाँ डिजाइन बनाएको छु।,मैले पर्दा काटेर नयाँ डिजाइन बनाएको छु।
"When I think about his death, I feel scared.","उहाँको कालको बारेमा सोच्दा, म डराउँछु।",उसको मृत्युको बारेमा विचार गर्दा मलाई डर लाग्छ।
"""Isn’t her husband working in India just to fill her belly?"" she burst out.",'भेरो बूढा कमाउन गा'को यिनैको भुँडी भर्न हो ?' उनी विस्फोट भइन्‌ ।,'भारतमा उसको पति केवल पेट भर्न काम गरिरहेको छैन ?' उसले फुटेकी थिई ।
You need rest so you can stay healthy.,"तिमीलाई विश्रामको आवश्यकता छ, ताकि तिमी स्वस्थ रहन सको।",तिमीलाई विश्राम चाहिन्छ ताकि तिमी स्वस्थ रहन सक्छ।
The plan of dual actions proved to be very effective.,द्वैत कार्यहरूको योजना निकै प्रभावकारी साबित भयो।,दुईवटा क्रियाकलापको योजना निकै प्रभावकारी थियो।
Take out the graphite rod from a pencil carefully. Try not to break it.,एउटा सिसाकलमबाट नभाँचिने गरी ग्राफाइट रड निकाल्नुहोस्।,पेन्सिलबाट ग्राफाइट रड निकाल्नुहोस्। नफुट्न प्रयास गर्नुहोस्।
"""There’s a lot in it, the subject, the background, and the lines and colors expressing the character’s desires have a sweet sound,"" she said, ""How do you think or search for characters?""","'त्यसमा धेरै कुरा छ, विषयवस्तु, पृष्ठभूमि र पात्रका आकाइ्क्षालाई अभिव्यक्त गर्ने रेखा र रङ्गमा मीठो ध्वनि छ,' उसले भनी- 'पात्रहरू कसरी सोच्नुहुन्छ वा खोज्नुहुन्छ ?'","""त्यसमा धेरै छ, विषय छ, पृष्ठभूमि, पात्रको इच्छाहरू प्रकट गर्ने रेखा र रङ्गहरू मीठो ध्वनि छन्‌,"" उसले भनी- """
Hands should be washed with soap and water after finishing the experiment.,प्रयोगपछि साबुन पानीले हात धुनुपर्छ।,प्रयोग सम्पन्न भएपछि हातले स्यापन र पानीलाई पखाउनु पर्छ।
And continue walking as before.,र यथावत्‌ पाइला चाल्छु ।,र पहिलेको जस्तो हिँड्न जारी रहनुहोस्।
The soldier held a gun in his hand and fought in the war because he had to take a role in defending the country.,"सैनिकले हातमा बन्दुक लिएर युद्ध लड्यो, किनकि देशको रक्षा गर्न हात हाल्नुपर्थ्यो।",सैनिकले हातमा पेस्तोल समातेर युद्धमा लड्यो किनभने देशको रक्षा गर्न हात हाल्नुपर्‍यो।
This program will fulfill dual purposes.,यो कार्यक्रमले दुईवटा उद्देश्य पूरा गर्नेछ।,यो कार्यक्रमले दुईवटा उद्देश्यहरू पूरा गर्नेछ।
There were nettles in the yard.,'करेसामा सिस्नोघारी थियो ।,आँगनमा नाटकहरू थिए।
My husband went to work today.,मेरो बुढो आज काममा गयो।,मेरो पति आज काम गयो।
The artist mixed bold reds and oranges to pigment his latest abstract piece.,कलाकारले आफ्नो पछिल्लो अमूर्त चित्रको लागि बलियो रातो र सुन्तला रंग मिश्रित गरे।,कलाकारले आफ्नो ताजा अमूर्त टुक्रा पिगमेन्ट गर्न धृष्ट रातो र सुन्तला मिसाइएको थियो।
Read it out loud so everyone can hear what it says.,यसलाई उच्चारण गरेर पढ्नुहोस् ताकि सबैले के भनिएको छ भने सुनून्।,ठूलो रूपमा पढ्नुहोस् ताकि त्यसले भनिन्छ भन्ने सबैलाई सुन्न सक्नुहोस्।
"My grandmother always had a bountiful produce patch in her backyard, full of delicious fruits and veggies just waiting to be picked.","मेरो हजुरआमा सधैं आफ्नो पछाडि स्वादिष्ट फल र तरकारीहरूले भरिएको एक समृद्ध उत्पादन बगैँचा राख्दथिन्, जुन पिक गर्नको लागि तयार थिइन्।","मेरो हजुरआमाको पछाडिमा सधैं एक उत्पादनदायक पाटो थियो, जसमा स्वादिष्ट फलहरू र टिप्न पर्खिरह"
One can easily interpret a person’s personality through their eyebrows and chin.,सके आँखीभौँ र चिउँडोमा व्यक्तिको आकति ठम्याउन सजिलो हन्छ ।,मानिसको व्यक्तित्वलाई आँखा र च्याउका माध्यमबाट सजिलै बताउन सकिन्छ।
"After taking a break to raise her children, Sarah decided to resume her career in marketing.","साराले आफ्ना बालबालिकालाई पाल्नको लागि विश्राम लिइ पछि, उनले आफ्नो करियरलाई मार्केटिङमा पुनः सुरू गर्ने निर्णय गरिन्।","साराहले आफ्ना बालबालिकालाई उत्साहित गर्न विश्राम गरेपछि, आफ्नो मार्केटिङ गरी कर्यर पुनः प्रारम्भ गर्ने निर्णय गरिन्"
"The parcel’s items were in good condition, and the delivery was successful.",पेटीको सामान राम्रो अवस्थामा थिए र ढुवानी सफलतापूर्वक पुर्याइयो।,"पेटीका सामानहरू राम्रो अवस्थामा थिए, र छुट्टी सफल भयो।"
Father bought chuk from the market.,बुबाले बजारबाट चुक किनेर ल्याउनुभयो।,बुबाले बजारबाट चुक किने।
"If only we had never hired that retard, we might have avoided bankruptcy.","हामीले त्यो अक्षमलाई कहिल्यै नियुक्त नगरेका भए, हामी दिवालिया हुनबाट जोगिन सक्थ्यौं।","यदि हामीले त्यो विश्राम कहिल्यै ननियत गरेको हो भने, हामीले बिग्रन्थबाट बच्न सक्थ्यौं।"
Cold storage will be established at international and major domestic airports to promote export of agricultural produce.,अन्तर्राष्ट्रिय र प्रमुख आन्तरिक विमानस्थलमा शीत भण्डार स्थापना गरिनेछ।,कृषि उपज निर्यात गर्नका लागि अन्तर्राष्ट्रिय तथा प्रमुख आवासीय विमानस्थल विमानस्थलमा चिसो भण्डारण स्थापना गरिनेछ
"A single Sakambari, without extracting any of her mentality or attachment from her.","एउटी ठो सकमबरीलाई, सम्पूर्ण उसदेखि कुनै उसको मानसिकता नल्नुट्टयाएर, उसदेखि कुनै उसको आसक्ति नछुट्याएर।",एउटै सकमबरी उसको कुनै मान्यता वा समन्वय ननिकाल्दिन।
"It proved that the ancestors of birds, bats, and insects are in different groups.","यसले यो प्रमाणित गर्छ कि चरा, चमेरा र किराका पुर्खा फरक फरक समूहका हुन्।","यसले प्रमाणित गर्यो कि चरा, चमेरा र किराका पुर्खाहरू विभिन्न समूहमा छन्।"
"I really felt like being harsh, so I muttered, “I will try.”","मलाई साँच्चै मुखमा झटारो आएजस्तै लाग्यो, केही घोप्टेर भनेँ “कोशिशा गर्छु।""","मलाई कठोर हुन मन लाग्यो, त्यसैले मैले चिच्च्याउँदै थिएँ “म प्रयास गर्नेछु ।”"
We will go ahead and meet at a different location.,हामी अगाडि जान्छौं र भिन्न स्थानमा भेट्न सक्छौं।,अगाडि जानेर अर्कै स्थानमा भेट्नेछौं।
"he has many other friends, people to meet outside if not at home,","उसका अरू पनि धेरै साथीहरू छन्‌, घरमा नभए पति बाहिर भेट्नेहरू,","उनीसँग धेरै अरू साथीहरू छन्‌, घरमा नहुने मानिसहरू बाहिर भेट्न"
His prized possession is a vintage moped that he restored himself over several weekends.,उनको प्रिय सम्पत्ति भनेको पुरानो मोपेड हो जुन उनले केही साता अन्त्यमा आफैले पुनर्स्थापना गरे।,उसको मूल्यवान सम्पत्ति एक भिन्तै मोपेड हो जसले उनले केही सप्ताहन्तमा फेरि फर्काए।
"To die in Japan is also to die, and you with your belongings will also become a grave; that too is to die.","जापानको भर्छु, त्यो पनि मर्नु नै हो, तिमी तिम्रो बस्तीसँगै एक चिहान हुन्छथौ, त्यो पति मर्नु नै हो।","जापानमा मर्नु पनि मर्नु हो, तपाईं आफ्नो मालसँगै पनि कब्र बन्नुहुन्छ, त्यो पनि मर्नु हो।"
Khari must be made with the right proportions.,खरीको सही अनुपात मिलाएर बनाउनु पर्छ।,खरी सही रूपमा बनाउनु पर्छ।
He had read me a story.,उसले मलाई एउटा कथा सुनाएको थियो।,उसले मलाई कथा पढेको थियो।
"Then Meetini’s mother would console him. After crying, I would stop.",खप्न नसकी रुन्थँ अनि मितिनी आमा उसलाई कृएलिदिनुहुन्थ्यो । फ रोएपछि,त्यसपछि मीतनी आमाले उनलाई सान्त्वना दिन्थे। रुएपछि म रोकिन्थे।
Walls painted with yellow ochre and brown.,कमेरो र गेरु लिपिएका भित्ताहरू ।,पहेँलो ओखर र ब्रुनले पोतिएका भित्ताहरू थिए।
One key implement used by professional bakers to create perfect bread loaves is a dough scraper.,व्यावसायिक बेकरीहरूले उत्तम रोटी बनाउने लागि प्रयोग गर्ने एक प्रमुख उपकरण भनेको डो स्क्रापर हो।,परफेक्ट ब्रेड बनाउन प्रयोग भएका व्यावसायिक बेकरहरूले प्रयोग गरेको एउटा मुख्य उपकरण डोका क्रापर हो।
The members of the party have felt a sense of unity as a family at the dharmshala.,धर्मशालामा पाटीका सदस्यहरूले पारिवारिक सदस्यको रूपमा एकजुटता महसुस गरेका छन्।,धर्मशालामा पाटीका सदस्यहरूले परिवारको एकता अनुभव गरेका छन्।
"What is electric power? If power is rated as 5 W on a mobile phone, write its meaning.",विद्युत् सामथ्र्य भनेको के हो? एउटा मोबाइल फोनमा लेखिएको ५ W को अर्थ लेख्नुहोस्।,विद्युत् शक्ति भनेको के हो? यदि शक्ति मोबाइल फोनमा ५ वर्षको रूपमा रेटिङ गरिए हो भने त्यसको अर्थ लेख्नुहोस्।
"Prepare a flash card of producer, primary consumer, secondary consumer, tertiary consumer, and decomposer.","एउटा चउरको पारिस्थितिक पद्धतिमा हुने उत्पादक, उपभोक्ता, प्राथमिक उपभोक्ता, दोस्रो उपभोक्ता, तेस्रो उपभोक्ता तथा विच्छेदकको फ्ल्यास कार्ड बनाउनुहोस्।","उत्पादक, प्राथमिक उपभोक्ता, द्वितीय उपभोक्ता, तेस्रो उपभोक्ता र विच्छेदकको फ्ल्याच कार्ड तयार गर्नुहोस्।"
"She looked startled and brightened her face, exclaiming, ""Oh my! Sujoyji, you!""","उसले तर्सेर हेरी र अनुहार उज्यालो पार्दै कराई “आम्मै ! सुयोगजी, तपाईं !”","उसले झस्किएको देखिन्थी, अनुहार उज्यालो पार्दै बोली- 'ए म! सुयोगजी, तपाईं !'"
"In that, one can paint pictures, find rhythm, and fill it with resonance. Like a picture, like a poem, like music, I reached a small world in this shared journey.","त्यसमा चित्र कोर्न सकिन्छ, लय कन्छ, गुञ्जन भर्न सकिन्छ। एउटा चित्रजस्तो, कविताजस्तो, 'सङ्गरीतजस्तो, सहयात्रामा सानो संसार चियाउन पुगेँ ।","त्यसमा तस्बिर चित्र बनाउन, लय खोज्न र रिसोनेसँग भर्न सक्छ । चित्रजस्तो, कविताजस्तो, संगीतजस्तो मैले यस साना"
"When searching, he found a shell. Coldness crept into his heart but he remained there,",खोज्दा एउटा खोका भेट्यो । चिसो पस्यो उसको मनमा तर उ ठाउँ,"खोजी गर्दा उसले एउटा ताल पत्ता लगायो। चिसो आफ्नो मनमा आयो, तर उसले त्यहाँ रहयो,"
The police arrested criminals from the brothel.,अपराधीहरूलाई प्रहरीले वेश्यालयबाट पक्राउ गर्यो।,प्रहरीले वेश्यालयबाट अपराधीहरूलाई पक्राउ गरे।
A wave is a periodic disturbance that transmits energy.,विद्युतीय र चुम्बकीय क्षेत्रमा हुने पेरियोडिक डिस्टरबेन्सले पनि शक्ति प्रसारण गर्छ।,तरङ्ग त्यसैले ऊर्जा प्रसारण गर्ने पेरियोडिक हलचल हो।
International Space Station revolves around an orbit at the height of about 354 km from the Earth.,यो पृथ्वीको वरिपरि करिब ३५४ किमी को उचाइमा रहेको कक्षमा घुम्छ।,पृथ्वीबाट करिब ३५४ किलोमिटरको उचाइमा अन्तर्राष्ट्रिय स्पेस स्टेसनले एक बारिबिट वरिपरि गर्छ।
A saw always helps make it easier to cut wood.,आरीले काठलाई काट्नको लागि सधैं सजिलो बनाउन मद्दत गर्दछ।,साँचो सधैं काठ काट्न सजिलो हुन्छ।
A servant brought tea.,नोकरको हात चिया आयो।,एउटा सेवकले चिया ल्याए।
Musicians often make their own Khari.,संगीतकारहरूले खरी आफैं बनाउने गर्छन्।,संगीतकर्मीहरू प्रायः आफ्नो खरी बनाउँछन्।
